data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
17/03/2023;03:07:00;14;AC02-ACIDENTE COM VÍTIMA;500,462;BR-163/PA;Sul;Carreta deu L;;;1;;;;;;;;0;1;;;
17/03/2023;13:03:00;132;AC02-ACIDENTE COM VÍTIMA;330,275;BR-163/PA;Norte;Tombamento;;;1;;;;;;;;0;1;;;
17/03/2023;15:41:00;146;AC02-ACIDENTE COM VÍTIMA;362;BR-163/PA;Norte;Colisão Lateral;;;2;;;;;;;;0;2;;;
18/03/2023;08:44:00;62;AC02-ACIDENTE COM VÍTIMA;144,959;BR-163/PA;Norte;Colisão Lateral;;;1;;;;;;;1;1;2;1;;
18/03/2023;17:27:00;169;AC02-ACIDENTE COM VÍTIMA;347;BR-163/PA;Sul;Queda de Moto;;;;1;;1;;;;;1;2;;;
18/03/2023;23:29:00;197;AC03-ACIDENTE SEM VÍTIMA;36,423;BR-163/PA;Sul;Atropelamento de Animal;;;1;;;;;;;;1;;;;
19/03/2023;03:49:00;21;AC03-ACIDENTE SEM VÍTIMA;881,214;BR-163/MT;Norte;Saida de Pista;1;;;;;;;;;;1;;;;
19/03/2023;15:49:00;200;AC02-ACIDENTE COM VÍTIMA;1089;BR-163/MT;Norte;Colisão Traseira;;;1;;;;;;;1;1;1;;;
19/03/2023;15:50:00;201;AC02-ACIDENTE COM VÍTIMA;671,991;BR-163/PA;Norte;Colisão Traseira;;;1;;;;;;;2;1;2;;;
19/03/2023;21:12:00;234;AC02-ACIDENTE COM VÍTIMA;1076,6;BR-163/MT;Sul;Queda de Moto;;;;1;;;;;;;0;1;1;;
20/03/2023;06:35:00;30;AC02-ACIDENTE COM VÍTIMA;263,583;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;2;1;;;
20/03/2023;08:58:00;76;AC02-ACIDENTE COM VÍTIMA;1072,191;BR-163/MT;Norte;Colisão Transversal;1;;1;;;;;;;;0;2;;;
20/03/2023;12:05:00;122;AC02-ACIDENTE COM VÍTIMA;942;BR-163/MT;Norte;Capotamento;1;;;;;;;;;;0;1;;;
20/03/2023;12:15:00;124;AC02-ACIDENTE COM VÍTIMA;926;BR-163/MT;Sul;Saida de Pista;;;;;;;;;;1;0;2;;;
20/03/2023;13:20:00;136;AC02-ACIDENTE COM VÍTIMA;394;BR-163/PA;Sul;Tombamento;;;1;;;;;;;;0;1;;;
20/03/2023;14:58:00;149;AC02-ACIDENTE COM VÍTIMA;618;BR-163/PA;Norte;Tombamento;;;1;;;;;;;;0;1;;;
20/03/2023;15:45:00;157;AC03-ACIDENTE SEM VÍTIMA;185,782;BR-163/PA;Sul;Carreta deu L;;;1;;;;;;;;1;;;;
20/03/2023;17:46:00;169;AC02-ACIDENTE COM VÍTIMA;670;BR-163/PA;Norte;Colisão Lateral;;;2;;;;;;;;0;;2;;
21/03/2023;00:11:00;2;AC02-ACIDENTE COM VÍTIMA;484,388;BR-163/PA;Sul;Colisão Traseira;;;1;;;2;;;;1;3;1;1;;
21/03/2023;08:07:00;45;AC03-ACIDENTE SEM VÍTIMA;930;BR-163/MT;Norte;Choque - Veiculo parado na pista;;;1;;;2;;;;;3;;;;
21/03/2023;13:45:00;137;AC03-ACIDENTE SEM VÍTIMA;889,708;BR-163/MT;Sul;Saida de Pista;;;1;;;;;;;;6;;;;
21/03/2023;17:27:00;183;AC02-ACIDENTE COM VÍTIMA;257,252;BR-163/PA;Norte;Colisão Lateral;;;2;;;;;;;;0;2;;;
22/03/2023;01:38:00;15;AC02-ACIDENTE COM VÍTIMA;652,871;BR-163/PA;Norte;Queda de Moto;;;;1;;;;;;;0;1;;1;
22/03/2023;08:06:00;61;AC03-ACIDENTE SEM VÍTIMA;890,422;BR-163/MT;Norte;Colisão Lateral;;;1;;;;;;;1;5;;;;
22/03/2023;13:21:00;129;AC02-ACIDENTE COM VÍTIMA;547,572;BR-163/PA;Sul;Tombamento;;;1;;;2;;;;;2;1;;;
22/03/2023;13:48:00;131;AC02-ACIDENTE COM VÍTIMA;143,8;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;2;1;;;
