data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
16/06/2023;07:06:00;29;Sem vítima;442,000;BR-153/GO;Decrescente;Choque;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16/06/2023;07:07:00;30;Sem vítima;356,000;BR-153/GO;Crescente;Colisão lateral no mesmo sentido;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
16/06/2023;12:43:00;92;Sem vítima;792,000;BR-153/GO;Decrescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
16/06/2023;15:06:00;120;Sem vítima;117,500;BR-80/GO;Decrescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
16/06/2023;16:04:00;126;Com vítima;208,000;BR-153/GO;Crescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
16/06/2023;16:25:00;133;Sem vítima;150,000;BR-153/GO;Decrescente;Colisão lateral no mesmo sentido;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16/06/2023;18:47:00;166;Sem vítima;72,000;BR-153/GO;Decrescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16/06/2023;19:32:00;172;Sem vítima;380,800;BR-153/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
17/06/2023;15:25:00;106;Com vítima;169,000;BR-153/GO;Decrescente;Colisão frontal;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
18/06/2023;15:14:00;114;Sem vítima;74,000;BR-153/GO;Decrescente;Colisão transversal;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0
18/06/2023;18:42:00;154;Com vítima;440,400;BR-414/GO;Crescente;Colisão lateral no mesmo sentido;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
19/06/2023;20:56:00;178;Com vítima;442,000;BR-153/GO;Crescente;Queda de moto;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
20/06/2023;05:35:00;18;Com vítima;232,000;BR-153/GO;Decrescente;Tombamento;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
20/06/2023;07:43:00;43;Sem vítima;208,000;BR-153/GO;Crescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
20/06/2023;10:35:00;69;Sem vítima;356,000;BR-153/GO;Decrescente;Colisão transversal;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
20/06/2023;14:13:00;100;Sem vítima;103,500;BR-153/GO;Crescente;Tombamento;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
20/06/2023;17:54:00;129;Com vítima;647,000;BR-153/GO;Crescente;Colisão lateral em sentido contrário;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
20/06/2023;18:50:00;137;Com vítima;198,000;BR-153/GO;Decrescente;Colisão frontal;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
20/06/2023;20:46:00;152;Sem vítima;344,000;BR-153/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21/06/2023;01:47:00;8;Com vítima;427,000;BR-153/GO;Decrescente;Capotamento;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21/06/2023;14:03:00;104;Sem vítima;82,000;BR-153/GO;Decrescente;Saída de pista;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
21/06/2023;14:49:00;111;Sem vítima;112,000;BR-153/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22/06/2023;01:35:00;3;Sem vítima;437,000;BR-414/GO;Crescente;Capotamento;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
22/06/2023;07:58:00;39;Sem vítima;436,000;BR-153/GO;Crescente;Queda de moto;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
22/06/2023;10:32:00;67;Com vítima;786,000;BR-153/GO;Crescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
23/06/2023;09:27:00;51;Com vítima;788,500;BR-153/GO;Decrescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0
23/06/2023;12:13:00;71;Sem vítima;439,500;BR-414/GO;Crescente;Queda de moto;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
23/06/2023;19:35:00;148;Sem vítima;132,000;BR-80/GO;Decrescente;Colisão transversal;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
24/06/2023;07:37:00;45;Com vítima;646,000;BR-153/GO;Decrescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
24/06/2023;18:26:00;159;Com vítima;428,000;BR-153/GO;Crescente;Colisão lateral no mesmo sentido;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
25/06/2023;13:02:00;85;Sem vítima;132,000;BR-80/GO;Crescente;Capotamento;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
25/06/2023;14:19:00;93;Sem vítima;26,000;BR-153/GO;Crescente;Queda de moto;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
25/06/2023;16:10:00;119;Com vítima;114,000;BR-153/GO;Crescente;Saída de pista;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
25/06/2023;19:43:00;160;Com vítima;302,000;BR-414/GO;Crescente;Atropelamento de animal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/06/2023;23:28:00;183;Com vítima;439,000;BR-153/GO;Crescente;Choque;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
